"No","CodeFigureForIXIIXIX","CodeFigureForBUFR","InstrumentMakeAndType_en","EquationCoefficients_a","EquationCoefficients_b"
1.00,"001","1","Sippican T-4","6.472","-2.16"
2.00,"002","2","Sippican T-4","6.691","-2.25"
3.00,"011","11","Sippican T-5","6.828","-1.82"
4.00,"021","21","Sippican Fast Deep","6.346","-1.82"
5.00,"031","31","Sippican T-6","6.472","-2.16"
6.00,"032","32","Sippican T-6","6.691","-2.25"
7.00,"041","41","Sippican T-7","6.472","-2.16"
8.00,"042","42","Sippican T-7","6.691","-2.25"
9.00,"051","51","Sippican Deep Blue","6.472","-2.16"
10.00,"052","52","Sippican Deep Blue","6.691","-2.25"
11.00,"061","61","Sippican T-10","6.301","-2.16"
12.00,"071","71","Sippican T-11","1.7779","-0.255"
13.00,"081","81","Sippican AXBT (300 m probes)","1.52","0.0"
14.00,"201","201","TSK T-4","6.472","-2.16"
15.00,"202","202","TSK T-4","6.691","-2.25"
16.00,"211","211","TSK T-6","6.472","-2.16"
17.00,"212","212","TSK T-6","6.691","-2.25"
18.00,"221","221","TSK T-7","6.472","-2.16"
19.00,"222","222","TSK T-7","6.691","-2.25"
20.00,"231","231","TSK T-5","6.828","-1.82"
21.00,"241","241","TSK T-10","6.301","-2.16"
22.00,"251","251","TSK Deep Blue","6.472","-2.16"
23.00,"252","252","TSK Deep Blue","6.691","-2.25"
24.00,"261","261","TSK AXBT",,
25.00,"401","401","Sparton XBT-1","6.301","-2.16"
26.00,"411","411","Sparton XBT-3","5.861","-0.0904"
27.00,"421","421","Sparton XBT-4","6.472","-2.16"
28.00,"431","431","Sparton XBT-5","6.828","-1.82"
29.00,"441","441","Sparton XBT-5DB","6.828","-1.82"
30.00,"451","451","Sparton XBT-6","6.472","-2.16"
31.00,"461","461","Sparton XBT-7","6.472","-2.16"
32.00,"462","462","Sparton XBT-7","6.705","-2.28"
33.00,"471","471","Sparton XBT-7DB","6.472","-2.16"
34.00,"481","481","Sparton XBT-10","6.301","-2.16"
35.00,"491","491","Sparton XBT-20","6.472","-2.16"
