"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
1.00,"10","BNSC","Radiometer","AATSR","Advanced along track scanning radiometer",
2.00,"11","BNSC","Radiometer","ATSR","Along track scanning radiometer",
3.00,"12","BNSC","Radiometer","ATSR-2","Along track scanning radiometer-2",
4.00,"13","BNSC","Radiometer","MWR","Microwave radiometer",
5.00,"30","CNES","Communications","ARGOS",,
6.00,"40","CNES","Lidar","Laser reflectors",,
7.00,"41","CNES","Lidar","DORIS","Doppler orbitography and radio-positioning integrated by satellite",
8.00,"42","CNES","Lidar","DORIS-NG","Doppler orbitography and radio-positioning integrated by satellite-NG",
9.00,"47","CNES","Radar altimeter","POSEIDON-1 (SSALT1)","Positioning ocean, solid Earth, ice dynamics orbiting navigator (single frequency solid state radar altimeter)",
10.00,"48","CNES","Radar altimeter","POSEIDON-2 (SSALT2)","Positioning ocean, solid Earth, ice dynamics orbiting navigator (double frequency solid state radar altimeter)",
11.00,"49","CNES","Radar altimeter","POSEIDON-3 (SSALT3)","Positioning ocean, solid Earth, ice dynamics orbiting navigator (double frequency solid state radar altimeter)",
12.00,"50","CNES","Imaging radiometer","ATSR/M","ATSR/M",
13.00,"51","CNES","High-resolution optical imager","HRG",,
14.00,"52","CNES","Radiometer","HRV","High-resolution visible",
15.00,"53","CNES","Radiometer","HRVIR","High-resolution visible and infrared",
16.00,"54","CNES","Radiometer","ScaRaB/MV2","Scanner for Earth's radiation budget",
17.00,"55","CNES","Radiometer","POLDER","POLDER",
18.00,"56","CNES","Imaging multi-spectral radiometer","IIR","Imaging Infrared Radiometer",
19.00,"57","ESA/EUMETSAT","Radar altimeter","POSEIDON-4","High precision altimetry, dual frequency (C- and Ku-band) pulse-width limited radar altimeter, synthetic-aperture processing, interleaved Low Rate and High Rate",
20.00,"60","CNES","Spectrometer","VEGETATION","VEGETATION",
21.00,"61","CNES","Spectrometer","WINDII","WINDII",
22.00,"62","CNES","Altimeter","AltiKa","Ka band Radar Altimeter",
23.00,"80","CSA","Communications","RADARSAT DTT",,
24.00,"81","CSA","Communications","RADARSAT TTC",,
25.00,"85","CSA","Radar","SAR (CSA)","Synthetic aperture radar (CSA)",
26.00,"90","CSA","Radiometer","MOPITT","Measurements of pollution in the troposphere",
27.00,"91","CSA","Atmospheric chemistry instrument","OSIRIS","Optical spectrograph and Infrared imaging system",
28.00,"92","CSA","Limb-scanning sounder","ACE-FTS","Atmospheric Chemistry Experiment - Fourier Transform Spectrometer",
29.00,"97","CSIRO","Radiometer","Panchromatic imager",,
30.00,"98","CRCSS","Atmospheric temperature and humidity sounder","GPS receiver",,
31.00,"102","DLR","Radiometer","CHAMP GPS sounder","GPS turborogue space receiver (TRSR)",
32.00,"103","DLR","Radiometer","IGOR","Integrated GPS and Occultation Receiver",
33.00,"104","NASA","GNSS occultation sounder","Tri-G","Triple-G (GPS, Galileo, GLONASS)",
34.00,"116","DLR","Magnetometer","CHAMP gravity package (Accelerometer+GPS)","STAR accelerometer",
35.00,"117","DLR","Magnetometer","CHAMP magnetometry package (1 scalar+2 vector magnetometer)","Overhauser magnetometer (OVM) and fluxgate magnetometer (FGM)",
36.00,"120","ESA","Communications","ENVISAT Comms","Communications package on ENVISAT",
37.00,"121","ESA","Communications","ERS Comms","Communication package for ERS",
38.00,"130","ESA","Lidar","ALADIN","Atmospheric laser Doppler instrument",
39.00,"131","ESA","Lidar","ATLID","Atmospheric lidar",
40.00,"140","ESA","Radar","AMI/SAR/image","Active microwave instrumentation image mode",
41.00,"141","ESA","Radar","AMI/SAR/wave","Active microwave instrumentation wave mode",
42.00,"142","ESA","Radar","AMI/scatterometer","Active microwave instrumentation wind mode",
43.00,"143","ESA","Radar","ASAR","ASAR",
44.00,"144","ESA","Imaging microwave","ASAR","Advanced synthetic aperture radar (image mode)",
45.00,"145","ESA","Imaging microwave","ASAR","Advanced synthetic aperture radar (wave mode)",
46.00,"146","ESA","Cloud profile and rain radar","CPR","Cloud radar",
47.00,"147","ESA","Radar","RA-2/MWR","Radar altimeter-2",
48.00,"148","ESA","Radar","RA/MWR","Radar altimeter",
49.00,"150","ESA","Scatterometer","SCATTEROMETER","Scatterometer",
50.00,"151","ESA","Imaging radar","SAR-C","Synthetic Aperture Radar (C-band)",
51.00,"152","ESA","Cross-nadir scanning","SW","Sounder TROPOMI Tropospheric Monitoring Instrument",
52.00,"161","ESA","Radiometer","MIPAS","Michelson interferometric passive atmosphere sounder",
53.00,"162","ESA","Imaging multi-spectral radiometer (passive microwave)","MWR-2","Microwave radiometer-2",
54.00,"163","ESA","Atmospheric chemistry instrument","SOPRANO","Sub-milimetre observation of processes in the absorption noteworthy for ozone",
55.00,"170","ESA","Atmospheric chemistry instrument","GOME","Global ozone monitoring experiment",
56.00,"172","ESA","Spectrometer","GOMOS","Global ozone monitoring by occultation of stars",
57.00,"174","ESA","Spectrometer","MERIS","Medium resolution imaging spectrometer",
58.00,"175","ESA","Spectrometer","SCIAMACHY","Scanning imaging absorption spectrometer for atmospheric cartography",
59.00,"176","ESA","Radiometer","MIRAS","Microwave imaging radiometer using aperture synthesis",
60.00,"177","ESA","Radar Altimeter","SIRAL","SAR/Interferometric Radar Altimeter",
61.00,"178","ESA","Radar altimeter","SRAL","Synthetic aperture radar altimeter",
62.00,"179","ESA","Moderate resolution optical imager","OLCI","Ocean and land colour imager",
63.00,"180","ESA","Moderate resolution optical imager","SLSTR","Sea and land surface temperature radiometer",
64.00,"181","EUMETSAT","Communications","METEOSAT Comms","Communications package for METEOSAT",
65.00,"182","EUMETSAT","Communications","MSG Comms","Communications package for MSG",
66.00,"190","ESA/EUMETSAT","Scatterometer","ASCAT","Advanced scatterometer",
67.00,"200","EUMETSAT","Radiometer","GERB","Geostationary Earth radiation budget",
