Title_en,Applicable_en
"GRIB, BUFR and CREX master table version number","GRIB Edition 2, Octet 10 in Section 1"
"GRIB, BUFR and CREX master table version number","BUFR Edition 4, Octet 14 in Section 1"
"GRIB, BUFR and CREX master table version number","CREX Edition 2, vv and bb in Group No. 1, Section 1"
Identification of originating/generating centre,F1F2 for alphanumeric codes
Identification of originating/generating centre,F3F3F3 for alphanumeric codes
Identification of originating/generating centre,Code table 0 in GRIB Edition 1/Code table 0 01 033 in BUFR
Identification of originating/generating centre,Octet 5 in Section 1 of GRIB Edition 1/Octet 6 in Section 1 of BUFR Edition 3
Radiosonde/ sounding system used,Code table 3685 - rara (Radiosonde/sounding system used) - for alphanumeric codes
Radiosonde/ sounding system used,Code table 0 02 011 (Radiosonde type) in BUFR
Instrument make and type for water temperature profile measurement with fall rate equation coefficients,"Code table 1770 - IXIXIX (Instrument type for XBT, with fall rate equation coefficients) - for alphanumeric codes"
Instrument make and type for water temperature profile measurement with fall rate equation coefficients,Code table 0 22 067 (Instrument type for water temperature/salinity profile measurement) in BUFR
Water temperature profile recorder types,Code table 4770 - XRXR (Recorder type) - for alphanumeric codes
Water temperature profile recorder types,Code table 0 22 068 (Water temperature profile recorder types) in BUFR
Satellite identifier,I6I6I6 for alphanumeric codes
Satellite identifier,Code table 0 01 007 in BUFR
Satellite identifier,Code used in GRIB Edition 2
List of units for TDCFs,"(Used only in Volume I.2, Parts B and C)"
Tracking technique/status of system used,Code table 3872 - sasa for alphanumeric code
Tracking technique/status of system used,Code table 0 02 014 in BUFR
Satellite Instruments,Code table 0 02 019 in BUFR
Originating/generating centres,BUFR 0 01 035
Originating/generating centres,"CREX Edition 2, ooooo in Group Poooooppp in Section 1"
Originating/generating centres,"GRIB Edition 2, Octets 6-7 in Section 1"
Originating/generating centres,"BUFR Edition 4, Octets 5-6 in Section 1"
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,BUFR 0 01 034
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,"BUFR Edition 3, Octet 5 in Section 1"
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,"BUFR Edition 4, Octets 7-8 in Section 1"
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,"GRIB Edition 1, Octet 26 in Section 1"
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,"GRIB Edition 2, Octets 8-9 in Section 1"
Sub-centres of originating centres defined by entries in Common Code tables C-1 or C-11,"CREX Edition 2, ppp in Group Poooooppp in Section 1"
Data sub-categories of categories defined by entries in BUFR Table A,"BUFR Edition 4, Octet 12 in Section 1 (if = 255, it means other sub-category or undefined)"
Data sub-categories of categories defined by entries in BUFR Table A,"CREX Edition 2,  mmm in Group Annnmmm of Section 1"
Atmospheric chemical or physical constituent type,Code Table 4.230 in GRIB 2
Atmospheric chemical or physical constituent type,Code table 0 08 046 in BUFR
